iter	Passed	Remaining
0	368	368288
1	369	184493
2	373	124168
3	374	93367
4	378	75279
5	379	62939
6	380	54038
7	381	47343
8	382	42129
9	383	37960
10	384	34572
11	386	31811
12	387	29439
13	390	27498
14	391	25701
15	392	24118
16	392	22718
17	393	21475
18	394	20363
19	395	19364
20	395	18460
21	396	17637
22	397	16887
23	399	16227
24	401	15667
25	402	15090
26	403	14553
27	404	14053
28	405	13586
29	409	13225
30	414	12958
31	417	12624
32	419	12298
33	421	11966
34	422	11649
35	424	11356
36	430	11205
37	431	10935
38	435	10726
39	437	10493
40	438	10266
41	440	10042
42	442	9843
43	444	9657
44	445	9459
45	446	9266
46	447	9079
47	448	8900
48	449	8729
49	450	8566
50	451	8407
51	452	8255
52	454	8115
53	455	7981
54	457	7864
55	459	7743
56	460	7621
57	461	7501
58	463	7389
59	464	7277
60	465	7171
61	467	7068
62	468	6967
63	469	6871
64	471	6784
65	473	6700
66	475	6614
67	475	6519
68	477	6438
69	481	6396
70	483	6321
71	484	6246
72	487	6191
73	488	6118
74	489	6042
75	490	5968
76	491	5897
77	493	5830
78	494	5765
79	495	5701
80	497	5640
81	498	5585
82	500	5530
83	503	5494
84	504	5431
85	505	5373
86	506	5313
87	507	5262
88	509	5212
89	510	5165
90	512	5115
91	513	5063
92	514	5017
93	515	4972
94	518	4939
95	519	4895
96	520	4848
97	521	4803
98	523	4762
99	524	4723
100	526	4686
101	527	4641
102	528	4601
103	529	4562
104	530	4523
105	532	4493
106	534	4456
107	535	4420
108	536	4382
109	537	4346
110	538	4309
111	539	4273
112	540	4238
113	540	4204
114	541	4169
115	542	4134
116	543	4101
117	544	4068
118	545	4035
119	545	4003
120	548	3987
121	550	3958
122	550	3926
123	551	3897
124	552	3868
125	553	3841
126	554	3814
127	555	3785
128	556	3757
129	557	3730
130	558	3703
131	559	3676
132	560	3652
133	562	3633
134	563	3613
135	564	3588
136	566	3569
137	567	3546
138	569	3524
139	570	3502
140	571	3478
141	571	3455
142	572	3432
143	573	3410
144	574	3388
145	575	3366
146	577	3350
147	578	3330
148	579	3309
149	580	3288
150	581	3267
151	581	3246
152	582	3227
153	584	3208
154	585	3189
155	586	3170
156	587	3151
157	587	3133
158	588	3114
159	589	3096
160	590	3078
161	592	3065
162	593	3048
163	595	3033
164	596	3016
165	597	3001
166	598	2984
167	599	2968
168	600	2953
169	602	2939
170	603	2926
171	604	2910
172	605	2895
173	607	2882
174	608	2867
175	609	2852
176	610	2837
177	611	2823
178	612	2808
179	613	2793
180	614	2778
181	614	2763
182	615	2748
183	616	2733
184	617	2718
185	617	2703
186	618	2688
187	619	2674
188	620	2660
189	620	2646
190	622	2636
191	623	2623
192	624	2609
193	624	2596
194	625	2582
195	626	2569
196	627	2556
197	627	2543
198	628	2530
199	629	2517
200	630	2504
201	630	2492
202	631	2479
203	632	2467
204	633	2455
205	634	2443
206	634	2431
207	635	2419
208	637	2411
209	638	2400
210	638	2389
211	639	2377
212	640	2366
213	641	2354
214	641	2343
215	642	2333
216	643	2321
217	644	2311
218	644	2300
219	645	2289
220	646	2278
221	647	2267
222	647	2257
223	648	2247
224	649	2237
225	650	2226
226	651	2219
227	652	2210
228	653	2200
229	654	2190
230	655	2180
231	655	2171
232	656	2161
233	657	2151
234	658	2142
235	658	2132
236	659	2123
237	660	2113
238	660	2104
239	661	2095
240	662	2085
241	663	2076
242	663	2067
243	664	2059
244	665	2050
245	666	2044
246	667	2035
247	668	2027
248	669	2018
249	670	2010
250	670	2001
251	671	1993
252	672	1984
253	672	1976
254	673	1968
255	674	1959
256	675	1951
257	675	1943
258	676	1935
259	677	1927
260	678	1920
261	678	1912
262	679	1904
263	681	1898
264	682	1892
265	683	1884
266	683	1877
267	684	1869
268	685	1861
269	685	1854
270	686	1846
271	687	1839
272	688	1832
273	688	1824
274	689	1817
275	690	1810
276	690	1803
277	691	1796
278	692	1790
279	693	1783
280	694	1776
281	695	1770
282	696	1764
283	697	1758
284	698	1752
285	699	1745
286	700	1739
287	701	1733
288	703	1730
289	704	1724
290	705	1719
291	706	1713
292	707	1707
293	708	1701
294	709	1695
295	710	1690
296	711	1684
297	712	1678
298	713	1672
299	714	1666
300	715	1660
301	715	1654
302	716	1648
303	717	1643
304	718	1637
305	719	1631
306	720	1626
307	721	1620
308	722	1616
309	723	1610
310	724	1605
311	726	1602
312	727	1596
313	728	1591
314	729	1585
315	729	1579
316	730	1573
317	731	1568
318	731	1562
319	732	1556
320	733	1551
321	734	1545
322	734	1540
323	735	1534
324	736	1529
325	737	1524
326	738	1519
327	738	1513
328	740	1510
329	741	1505
330	742	1500
331	742	1494
332	743	1489
333	744	1484
334	745	1479
335	745	1474
336	746	1468
337	747	1463
338	748	1458
339	748	1453
340	749	1448
341	750	1443
342	751	1438
343	751	1433
344	752	1428
345	753	1423
346	754	1419
347	755	1415
348	756	1411
349	757	1406
350	758	1401
351	758	1396
352	759	1391
353	760	1387
354	760	1382
355	761	1377
356	762	1373
357	763	1368
358	763	1363
359	764	1359
360	765	1354
361	766	1350
362	766	1345
363	767	1341
364	768	1336
365	769	1332
366	770	1329
367	771	1325
368	772	1320
369	773	1316
370	773	1311
371	774	1307
372	775	1303
373	776	1298
374	776	1294
375	777	1290
376	778	1286
377	778	1281
378	779	1277
379	780	1273
380	781	1269
381	781	1265
382	782	1260
383	783	1256
384	784	1253
385	785	1250
386	786	1245
387	787	1241
388	788	1237
389	788	1233
390	789	1229
391	790	1225
392	791	1221
393	791	1217
394	792	1213
395	793	1209
396	793	1205
397	794	1202
398	795	1198
399	796	1194
400	796	1190
401	797	1186
402	798	1182
403	799	1180
404	800	1176
405	801	1172
406	802	1169
407	803	1165
408	803	1161
409	804	1157
410	805	1154
411	806	1150
412	806	1146
413	807	1143
414	808	1139
415	809	1135
416	809	1132
417	810	1128
418	811	1125
419	812	1121
420	812	1117
421	813	1114
422	815	1111
423	816	1108
424	816	1105
425	817	1101
426	818	1098
427	819	1094
428	819	1091
429	820	1087
430	821	1084
431	822	1080
432	822	1077
433	823	1074
434	824	1070
435	825	1067
436	826	1064
437	826	1060
438	827	1057
439	828	1054
440	829	1051
441	830	1048
442	831	1045
443	832	1042
444	833	1038
445	833	1035
446	834	1032
447	835	1029
448	836	1025
449	836	1022
450	837	1019
451	838	1016
452	839	1013
453	839	1010
454	840	1006
455	841	1003
456	842	1000
457	842	997
458	843	994
459	844	991
460	845	988
461	846	985
462	847	982
463	848	979
464	848	976
465	849	973
466	850	970
467	851	967
468	851	964
469	852	961
470	853	958
471	854	955
472	854	952
473	855	949
474	856	946
475	857	943
476	857	940
477	859	938
478	860	935
479	861	932
480	861	929
481	862	927
482	863	924
483	864	921
484	864	918
485	865	915
486	866	912
487	867	909
488	867	906
489	868	904
490	869	901
491	870	898
492	871	895
493	871	892
494	872	890
495	873	887
496	874	885
497	875	882
498	876	879
499	877	877
500	877	874
501	878	871
502	879	869
503	880	866
504	882	865
505	883	862
506	884	859
507	884	857
508	885	854
509	886	851
510	887	848
511	887	846
512	889	844
513	890	841
514	890	839
515	891	836
516	892	833
517	893	831
518	894	828
519	894	825
520	895	823
521	896	820
522	896	818
523	897	815
524	898	812
525	899	810
526	899	807
527	900	805
528	901	802
529	901	799
530	902	797
531	904	795
532	905	792
533	905	790
534	906	787
535	907	785
536	908	782
537	908	780
538	909	778
539	910	775
540	911	772
541	911	770
542	912	767
543	913	765
544	914	763
545	914	760
546	915	758
547	916	755
548	917	753
549	918	751
550	919	749
551	920	747
552	921	744
553	921	742
554	922	739
555	923	737
556	924	735
557	925	732
558	925	730
559	926	727
560	927	725
561	927	723
562	928	720
563	929	718
564	930	716
565	930	713
566	931	711
567	932	709
568	933	707
569	934	705
570	935	703
571	936	700
572	937	698
573	937	696
574	938	693
575	939	691
576	940	689
577	940	686
578	941	684
579	942	682
580	943	680
581	943	677
582	944	675
583	945	673
584	946	671
585	946	668
586	947	666
587	949	665
588	950	663
589	951	661
590	952	658
591	952	656
592	953	654
593	954	652
594	955	650
595	955	647
596	956	645
597	957	643
598	958	641
599	958	639
600	959	637
601	960	634
602	961	632
603	961	630
604	962	628
605	963	626
606	964	624
607	965	622
608	966	620
609	967	618
610	968	616
611	968	614
612	970	612
613	971	610
614	972	608
615	973	606
616	974	604
617	975	602
618	975	600
619	976	598
620	977	596
621	978	594
622	979	592
623	980	590
624	981	588
625	982	586
626	982	584
627	983	582
628	984	580
629	985	578
630	985	576
631	986	574
632	987	572
633	988	570
634	988	568
635	989	566
636	990	564
637	991	562
638	991	560
639	993	558
640	994	556
641	995	554
642	995	552
643	996	550
644	997	548
645	997	546
646	998	544
647	999	542
648	1000	540
649	1000	538
650	1001	537
651	1002	535
652	1003	533
653	1003	531
654	1004	529
655	1005	527
656	1006	525
657	1007	523
658	1008	521
659	1009	520
660	1010	518
661	1011	516
662	1012	514
663	1013	512
664	1014	510
665	1014	508
666	1015	507
667	1016	505
668	1017	503
669	1017	501
670	1018	499
671	1019	497
672	1020	495
673	1020	493
674	1021	491
675	1022	490
676	1023	488
677	1024	486
678	1024	484
679	1025	482
680	1026	480
681	1027	478
682	1027	477
683	1028	475
684	1029	473
685	1030	471
686	1030	469
687	1031	467
688	1032	465
689	1033	464
690	1033	462
691	1034	460
692	1035	458
693	1036	456
694	1037	455
695	1037	453
696	1038	451
697	1039	449
698	1040	447
699	1040	446
700	1041	444
701	1042	442
702	1042	440
703	1043	438
704	1044	437
705	1044	435
706	1045	433
707	1046	431
708	1047	429
709	1047	428
710	1048	426
711	1049	424
712	1050	422
713	1051	420
714	1052	419
715	1052	417
716	1053	415
717	1054	414
718	1055	412
719	1055	410
720	1056	408
721	1057	407
722	1058	405
723	1058	403
724	1059	401
725	1060	400
726	1061	398
727	1061	396
728	1062	395
729	1063	393
730	1064	391
731	1064	389
732	1065	388
733	1066	386
734	1067	384
735	1068	383
736	1068	381
737	1069	379
738	1070	377
739	1070	376
740	1071	374
741	1072	372
742	1073	371
743	1073	369
744	1074	367
745	1075	366
746	1076	364
747	1076	362
748	1077	361
749	1078	359
750	1079	357
751	1079	356
752	1080	354
753	1081	352
754	1081	351
755	1082	349
756	1083	347
757	1084	346
758	1084	344
759	1085	342
760	1086	341
761	1087	339
762	1087	337
763	1088	336
764	1089	334
765	1090	333
766	1090	331
767	1091	329
768	1092	328
769	1093	326
770	1093	324
771	1094	323
772	1095	321
773	1096	320
774	1096	318
775	1097	316
776	1098	315
777	1099	313
778	1100	312
779	1101	310
780	1101	308
781	1102	307
782	1103	305
783	1104	304
784	1104	302
785	1105	301
786	1106	299
787	1107	298
788	1108	296
789	1109	294
790	1109	293
791	1110	291
792	1111	290
793	1112	288
794	1112	286
795	1113	285
796	1114	283
797	1115	282
798	1115	280
799	1116	279
800	1117	277
801	1118	276
802	1118	274
803	1119	272
804	1120	271
805	1121	269
806	1121	268
807	1122	266
808	1123	265
809	1123	263
810	1124	262
811	1125	260
812	1126	259
813	1126	257
814	1127	255
815	1128	254
816	1129	252
817	1129	251
818	1130	249
819	1131	248
820	1131	246
821	1132	245
822	1133	243
823	1134	242
824	1134	240
825	1135	239
826	1136	237
827	1137	236
828	1138	234
829	1138	233
830	1139	231
831	1140	230
832	1141	228
833	1141	227
834	1142	225
835	1143	224
836	1144	222
837	1144	221
838	1145	219
839	1146	218
840	1146	216
841	1147	215
842	1148	213
843	1149	212
844	1149	210
845	1150	209
846	1151	207
847	1152	206
848	1152	205
849	1153	203
850	1154	202
851	1155	200
852	1155	199
853	1156	197
854	1157	196
855	1158	194
856	1158	193
857	1159	191
858	1160	190
859	1160	188
860	1161	187
861	1162	186
862	1163	184
863	1164	183
864	1165	181
865	1165	180
866	1166	178
867	1167	177
868	1168	176
869	1168	174
870	1169	173
871	1170	171
872	1171	170
873	1171	168
874	1172	167
875	1173	166
876	1173	164
877	1174	163
878	1175	161
879	1176	160
880	1177	159
881	1178	157
882	1178	156
883	1179	154
884	1180	153
885	1181	151
886	1181	150
887	1182	149
888	1183	147
889	1184	146
890	1184	144
891	1185	143
892	1186	142
893	1187	140
894	1187	139
895	1188	137
896	1189	136
897	1190	135
898	1191	133
899	1192	132
900	1192	131
901	1193	129
902	1194	128
903	1195	126
904	1195	125
905	1196	124
906	1197	122
907	1198	121
908	1198	120
909	1199	118
910	1200	117
911	1201	115
912	1201	114
913	1202	113
914	1203	111
915	1204	110
916	1204	109
917	1205	107
918	1206	106
919	1207	104
920	1207	103
921	1208	102
922	1209	100
923	1210	99
924	1210	98
925	1211	96
926	1212	95
927	1212	94
928	1213	92
929	1214	91
930	1215	90
931	1215	88
932	1216	87
933	1217	86
934	1218	84
935	1218	83
936	1219	81
937	1220	80
938	1220	79
939	1221	77
940	1222	76
941	1223	75
942	1223	73
943	1224	72
944	1225	71
945	1226	69
946	1226	68
947	1227	67
948	1228	66
949	1229	64
950	1229	63
951	1230	62
952	1231	60
953	1231	59
954	1232	58
955	1233	56
956	1234	55
957	1234	54
958	1235	52
959	1236	51
960	1237	50
961	1237	48
962	1238	47
963	1239	46
964	1240	44
965	1240	43
966	1241	42
967	1242	41
968	1243	39
969	1244	38
970	1244	37
971	1245	35
972	1246	34
973	1247	33
974	1247	31
975	1248	30
976	1249	29
977	1250	28
978	1250	26
979	1251	25
980	1252	24
981	1252	22
982	1253	21
983	1254	20
984	1255	19
985	1255	17
986	1256	16
987	1257	15
988	1258	13
989	1258	12
990	1259	11
991	1260	10
992	1261	8
993	1261	7
994	1262	6
995	1263	5
996	1264	3
997	1264	2
998	1265	1
999	1266	0
